well_id,date,cycle_number,days_since_steam,steam_volume,injection_pressure,soak_time,production_cutoff,reservoir_temperature,reservoir_pressure,oil_viscosity,oil_api,stroke_length,spm,vfd_frequency,fluid_level,water_cut,oil_production,steam_oil_ratio,energy_consumption,energy_per_barrel,pump_efficiency,rod_floating_risk,impact_loading_risk,pump_unsetting_risk,rod_failure_risk
BGH-001,2022-01-01,1,1,973.0112725701114,17.051272222969253,29.86559073996569,9.44086821727926,141.57795383321226,4.430457718140969,165.24137235689898,18.423254122376047,48.98495275981733,7.942500940898999,32.24670439502601,43.232902269790294,0.14098103017420083,99.92174691468277,1.0,64.88838069209507,0.6493919761781126,0.897745371661187,0.08082231962684733,0.09413583865725506,0.06696763375615833,0.07411749932807601
BGH-001,2022-01-02,1,2,973.0112725701114,17.051272222969253,29.86559073996569,9.44086821727926,137.15783678878603,4.380975973613184,204.5450688379038,18.423254122376047,52.15509488530769,6.885308725114156,33.117363630512735,48.16836720284007,0.12437052507519708,93.74655487191006,1.0,68.01115169467333,0.7254789446673521,0.8928880687418072,0.06934594500173154,0.03682768229431305,0.08200935866598988,0.07436957675889758
BGH-001,2022-01-03,1,3,973.0112725701114,17.051272222969253,29.86559073996569,9.44086821727926,133.01865880629558,4.351124982986382,239.6334084513218,18.423254122376047,59.75239494150326,7.58109488338667,39.7347163921399,42.32870848545395,0.13618571944870475,97.08687432926993,1.0,70.27934749402135,0.7238810393222578,0.8815362078005108,0.11054878651325321,0.06856147052253041,0.08049464050637353,0.1161391498399321
BGH-001,2022-01-04,1,4,973.0112725701114,17.051272222969253,29.86559073996569,9.44086821727926,130.62953829136598,4.135178313295598,253.450227436932,18.423254122376047,59.978586058549986,8.45201668223991,35.90764956650938,43.334566282314555,0.11926882662762514,89.72644689869568,1.0,72.60931759443821,0.8092298324976211,0.8757374991281297,0.08740950819564655,0.05772264367872147,0.0623565447770386,0.0792147364152998
BGH-001,2022-01-05,1,5,973.0112725701114,17.051272222969253,29.86559073996569,9.44086821727926,125.22506891309945,4.3561474488187,343.43340126534275,18.423254122376047,50.36651841253344,7.064335384121914,35.70957263601002,42.85454501961325,0.10826633650699405,72.89258676522533,1.0,68.32598546452105,0.9373516361079004,0.8661025448645812,0.1133956359707068,0.08848477930687766,0.09230510705123594,0.11146636325476317
BGH-001,2022-01-06,1,6,973.0112725701114,17.051272222969253,29.86559073996569,9.44086821727926,122.08959959548037,4.327556500580727,325.59326049589237,18.423254122376047,48.01927220678963,7.979729072068124,32.56712566783963,37.43826209802727,0.08062218818942282,81.87082669896998,1.0,65.91496890346193,0.805109360209883,0.8642278001166849,0.14005870590252628,0.0605854218014632,0.08177314191055984,0.07469756016589782
BGH-001,2022-01-07,1,7,973.0112725701114,17.051272222969253,29.86559073996569,9.44086821727926,117.15064605006522,4.389253523114998,467.3556761747948,18.423254122376047,55.50490655399709,6.8646087491234375,39.396057268128224,36.97286261597764,0.10274625110758014,79.34462118488086,1.0,75.64320436443813,0.9533501229803838,0.8597420783882722,0.11229815434488373,0.10305479858466354,0.10339132844376052,0.13355785707032358
BGH-001,2022-01-08,1,8,973.0112725701114,17.051272222969253,29.86559073996569,9.44086821727926,117.44215071492158,4.512719032835842,411.87812749777504,18.423254122376047,52.271331377909625,5.847976622932429,41.81090568088643,38.456887758476825,0.10240621168125631,74.17544324055895,1.0,74.41038656814831,1.0031674003865054,0.8407737490421938,0.14120344382726868,0.11540029096384757,0.14475745392176875,0.19004793452567187
BGH-001,2022-01-09,1,9,973.0112725701114,17.051272222969253,29.86559073996569,9.44086821727926,111.01263936512373,4.3692480613707545,556.0358285198154,18.423254122376047,54.014463795085305,8.779176276945172,38.94229140467207,39.306660173695846,0.10881606849550787,78.89013452127303,1.0,79.9380061421047,1.0132826699712256,0.8053017701067346,0.14526204605563164,0.12552223198951515,0.15529432447918545,0.14247968046453122
BGH-001,2022-01-10,1,10,973.0112725701114,17.051272222969253,29.86559073996569,9.44086821727926,110.89555334645938,4.194929433919452,552.0155915216359,18.423254122376047,49.2502932454293,8.506187044483614,32.582436931477844,47.44870739840939,0.10186934838660616,85.2739747652069,1.0,63.78679380855979,0.7480218200710141,0.8463531380444335,0.1210258689890711,0.07273986753936684,0.09834728775761449,0.08694215349450964
BGH-001,2022-01-11,1,11,973.0112725701114,17.051272222969253,29.86559073996569,9.44086821727926,109.45905734090191,4.526613636658746,641.5696768617481,18.423254122376047,64.14201219194777,7.763259001636627,35.534436614997574,41.833390821553536,0.11783404184725293,88.05378426802682,1.0,77.68169208666752,0.8822073092305983,0.8925824858112528,0.1388475029994072,0.06465453140261686,0.0612436075786961,0.1227878991501383
BGH-001,2022-01-12,1,12,973.0112725701114,17.051272222969253,29.86559073996569,9.44086821727926,106.60105836932482,4.291140207353176,802.7713789752968,18.423254122376047,59.50328756282331,7.026473852568492,37.969268799679575,38.19997195372584,0.0939238579489128,71.21837431377244,1.0,67.92509300194652,0.9537579824931632,0.8850886340868301,0.14658617478451738,0.12061684845537314,0.05098460520133165,0.11132368381846089
BGH-001,2022-01-13,1,13,973.0112725701114,17.051272222969253,29.86559073996569,9.44086821727926,103.33091132720753,4.297027873005397,881.6302942055072,18.423254122376047,51.61081396666495,7.106792286765647,44.01654695182762,40.890851595146586,0.08924018205651091,71.31753102965422,1.0,72.47632520878196,1.0162483776765339,0.8310509902504257,0.14763607397574782,0.11859383828337887,0.1223161031027906,0.13322065414963513
BGH-001,2022-01-14,1,14,973.0112725701114,17.051272222969253,29.86559073996569,9.44086821727926,102.66298937753028,4.364510085506163,1030.656484787274,18.423254122376047,52.98831646915577,5.743869597795596,34.455757916219085,38.15017902522579,0.17012111528204177,60.29937140311241,1.0,64.67995866978337,1.0726473123141853,0.8257673881227052,0.11024608632030944,0.03466809116100626,0.08620436160919638,0.052756168841618635
BGH-001,2022-01-15,1,15,973.0112725701114,17.051272222969253,29.86559073996569,9.44086821727926,102.18761039147698,4.325811179379188,746.8773377581489,18.423254122376047,45.98804193108178,6.183857305854432,49.02148116992788,47.03578160800316,0.08732386886522522,86.65617908963463,1.0,82.72237095841706,0.9546044128353668,0.7989677858178753,0.1713012851327728,0.16521119773206605,0.09004248915780327,0.1436449942599055
BGH-001,2022-01-16,1,16,973.0112725701114,17.051272222969253,29.86559073996569,9.44086821727926,99.21854507502825,4.291983957341882,963.4437859929013,18.423254122376047,53.13528756993731,7.7786038675515075,34.6680366870859,39.83935549012201,0.09042760479075046,70.54227769520045,1.0,71.1402683730041,1.008477053723548,0.8427135508042541,0.15464476690826037,0.10727200967957903,0.10327441959579646,0.10842191651781491
